"","Baie de Saint-Brieuc","Belle-ile","Camaret","Glenan","Meaban","Molene","Morlaix","Rade de Brest - Keraliou","Rade de Brest - Rozegat"
"Belle-ile",6.22558695186431e-05,NA,NA,NA,NA,NA,NA,NA,NA
"Camaret",0.0874369425056734,0.0228246817675555,NA,NA,NA,NA,NA,NA,NA
"Glenan",0.000112120661934423,1,0.0731632812498653,NA,NA,NA,NA,NA,NA
"Meaban",0.000523142803135485,1,0.129694559109361,1,NA,NA,NA,NA,NA
"Molene",0.00559449365184553,0.140225192597271,1,0.188330269240661,0.437713058135971,NA,NA,NA,NA
"Morlaix",0.000245357387952248,1,0.437713058135971,1,1,1,NA,NA,NA
"Rade de Brest - Keraliou",0.00011762611952277,1,0.0716115252924354,1,1,0.437713058135971,1,NA,NA
"Rade de Brest - Rozegat",9.70386657862916e-05,1,0.00294342143074821,1,1,0.0065439668436422,0.188330269240661,1,NA
"Trevignon",0.0129054929573772,0.0016160995322624,1,0.023251825765971,0.140225192597271,1,0.0874369425056734,0.00720604412133309,0.00193544258191145
